sample_idx,frame_idx,time_sec,has_bbox,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,iou_prev,center_disp_norm
0,0,0.0,False,,,,,0.0,,
1,6,0.25,True,1221.0,1021.0,741.0,286.0,15028.0,,
2,12,0.5,True,2038.0,907.0,1134.0,484.0,122731.5,0.0,0.21889225914543894
3,18,0.75,True,1967.0,701.0,783.0,726.0,90999.0,0.4459755715627936,0.056308353440374215
4,24,1.0,True,1333.0,1015.0,541.0,355.0,47190.0,0.0,0.1653891022671286
5,30,1.25,True,1412.0,1219.0,609.0,435.0,95132.0,0.18016673209231215,0.0580688540701089
6,36,1.5,True,1412.0,1171.0,1183.0,558.0,148595.0,0.4013170452376408,0.06204701848874645
7,42,1.75,True,1420.0,1236.0,1022.0,551.0,117841.0,0.7003794881774837,0.020530866153224313
8,48,2.0,True,2850.0,1324.0,1169.0,439.0,49838.0,0.0,0.324758754564974
9,54,2.25,True,1645.0,879.0,1416.0,911.0,261013.5,0.054151968561937824,0.23787420530575437
10,60,2.5,True,2225.0,1192.0,1058.0,476.0,53214.5,0.28512633558031825,0.0890190463950418
11,66,2.75,True,2139.0,1155.0,1486.0,370.0,65866.0,0.5025060118611239,0.0337909402140382
12,72,3.0,True,2139.0,1174.0,1447.0,377.0,56555.0,0.8645908872705731,0.006429814748433104
13,78,3.25,True,1626.0,818.0,1957.0,778.0,108572.5,0.35728569769052104,0.06505319756123894
14,84,3.5,True,1629.0,765.0,1411.0,481.0,62257.5,0.3780736466939497,0.07275474551108557
15,90,3.75,True,2061.0,1061.0,1557.0,604.0,96813.5,0.12594888470407592,0.1336173275393105
16,96,4.0,True,1979.0,1082.0,1374.0,454.0,96400.5,0.5999738149205855,0.03924064310239028
17,102,4.25,True,1766.0,641.0,1345.0,581.0,98980.0,0.12711337618035853,0.09518172629419785
18,108,4.5,True,1953.0,1305.0,693.0,486.0,68031.5,0.0,0.13647699482007658
19,114,4.75,True,2032.0,948.0,714.0,883.0,213679.0,0.4461408733718469,0.039308474861060524
20,120,5.0,True,2142.0,1229.0,677.0,668.0,141591.5,0.5056501967764814,0.042358988684931924
21,126,5.25,True,2210.0,1344.0,694.0,625.0,147259.5,0.6132037166178995,0.026088775823762247
22,132,5.5,True,2234.0,1092.0,1287.0,943.0,289079.5,0.34082372312172554,0.07206787855424705
23,138,5.75,True,2531.0,1113.0,1009.0,379.0,75751.0,0.30733706736825894,0.06588687993506016
24,144,6.0,True,1734.0,893.0,337.0,377.0,40431.5,0.0,0.2492858273138964
25,150,6.25,True,1572.0,932.0,454.0,414.0,76168.5,0.45627320176229375,0.025568771587678184
26,156,6.5,True,1404.0,990.0,638.0,588.0,128637.0,0.40257450009465073,0.0353536770099275
27,162,6.75,True,2319.0,1430.0,666.0,616.0,89292.5,0.0,0.22329542874966216
28,168,7.0,True,2556.0,1106.0,1540.0,803.0,156041.0,0.14256496355935436,0.15382856783189144
29,174,7.25,True,2836.0,1081.0,1260.0,763.0,120088.5,0.7332744535217487,0.031756830322490014
30,180,7.5,True,2180.0,1299.0,664.0,627.0,86058.0,0.003174723376740637,0.20855015718408923
31,186,7.75,True,2879.0,1064.0,1006.0,683.0,52541.5,0.0,0.1931238645495051
32,192,8.0,True,2917.0,1270.0,1179.0,453.0,135220.0,0.5602589049689465,0.03330246877385433
33,198,8.25,True,2896.0,1418.0,861.0,240.0,54286.0,0.3739378662170509,0.03989127531292847
34,204,8.5,True,3231.0,1216.0,865.0,401.0,51413.5,0.23321472892915152,0.07736157497095597
35,210,8.75,True,2900.0,1079.0,1196.0,508.0,60730.5,0.5065601924491491,0.040031463435546415
36,216,9.0,True,2191.0,1030.0,569.0,735.0,78116.5,0.0,0.22125075379970077
37,222,9.25,True,2829.0,1041.0,1263.0,533.0,72174.5,0.0,0.21359971373548967
38,228,9.5,True,2123.0,995.0,1070.0,790.0,139618.0,0.14648307583352396,0.17421559696129232
39,234,9.75,True,2058.0,949.0,1085.0,856.0,198008.0,0.8322144878441741,0.012730695088796911
40,240,10.0,True,2008.0,904.0,1087.0,885.0,170785.5,0.8542721945717998,0.012464151057091782
41,246,10.25,True,2050.0,868.0,1012.0,637.0,72106.0,0.6091702247635531,0.03456613105009377
42,252,10.5,True,2019.0,824.0,1003.0,340.0,72749.0,0.4122231901334189,0.04227192315496882
43,258,10.75,True,1950.0,1133.0,627.0,611.0,50011.5,0.02447302633347434,0.11088068176391312
44,264,11.0,True,1947.0,701.0,657.0,990.0,114567.0,0.5117536322826665,0.05243266306095024
45,270,11.25,True,3486.0,1253.0,610.0,399.0,28817.0,0.0,0.3319311314488895
