sample_idx,frame_idx,time_sec,has_bbox,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,iou_prev,center_disp_norm
0,0,0.0,False,,,,,0.0,,
1,6,0.25025,True,2201.0,431.0,391.0,445.0,87961.5,,
2,12,0.5005,True,969.0,0.0,1278.0,374.0,120372.5,0.0,0.3262688469345925
3,18,0.7507499999999999,True,1182.0,142.0,829.0,413.0,122638.5,0.3062445364088143,0.05765987358137616
4,24,1.001,True,1147.0,340.0,800.0,740.0,249260.0,0.2136310855147798,0.1299406216770135
5,30,1.25125,True,1072.0,335.0,787.0,745.0,142980.5,0.8087990359744257,0.029037868426893442
6,36,1.5014999999999998,True,1076.0,371.0,291.0,709.0,39008.5,0.35189104832726437,0.08713070996397393
7,42,1.75175,True,1228.0,315.0,374.0,765.0,55908.0,0.25020691686258184,0.06962797174727416
8,48,2.002,True,1264.0,286.0,514.0,794.0,106080.0,0.59351873955598,0.03810083645333369
9,54,2.2522499999999996,True,1348.0,498.0,565.0,582.0,97594.0,0.514212449094488,0.05427407678171994
10,60,2.5025,True,1279.0,574.0,401.0,466.0,49029.5,0.42858409236974493,0.054155649308210645
11,66,2.75275,True,1408.0,605.0,343.0,475.0,45117.5,0.5111655455759037,0.03779000183062254
12,72,3.0029999999999997,True,2090.0,472.0,502.0,608.0,57587.5,0.0,0.27222155600050263
13,78,3.25325,True,682.0,0.0,761.0,332.0,42999.5,0.0,0.5044754505434864
14,84,3.5035,True,1721.0,797.0,531.0,283.0,87338.5,0.0,0.42891041395484775
15,90,3.7537499999999997,True,1919.0,595.0,268.0,317.0,49416.5,0.15077613999383588,0.07001034129329863
16,96,4.004,True,802.0,0.0,1169.0,605.0,117858.5,0.0006568302131792983,0.2865920324612449
17,102,4.25425,True,1086.0,391.0,835.0,303.0,67209.5,0.22863247863247863,0.09508547008547008
18,108,4.504499999999999,True,1602.0,144.0,632.0,790.0,123796.5,0.14742658946841808,0.14761922242741435
19,114,4.75475,True,1147.0,345.0,1102.0,735.0,230210.0,0.3972755661140531,0.09978010320186931
20,120,5.005,True,1147.0,0.0,469.0,704.0,74997.5,0.17326130019809113,0.17084090927387297
21,126,5.255249999999999,True,1245.0,0.0,444.0,927.0,93888.0,0.5434766324025136,0.050038463991911426
22,132,5.5055,True,1347.0,189.0,362.0,891.0,51285.5,0.5239322945858088,0.06465612519983023
23,138,5.75575,True,754.0,0.0,929.0,745.0,67622.5,0.2256692489167475,0.14441058837339585
24,144,6.005999999999999,True,1444.0,14.0,433.0,812.0,90432.5,0.20104788076299898,0.15831374362487985
25,150,6.25625,True,1533.0,0.0,508.0,995.0,135975.5,0.4834939625567741,0.05283212979662943
26,156,6.5065,True,1320.0,0.0,531.0,718.0,79350.5,0.3467893085295431,0.08707574467666557
27,162,6.756749999999999,True,1417.0,5.0,506.0,640.0,54019.0,0.6499773013399229,0.03243723385595841
28,168,7.007,True,484.0,61.0,1344.0,1019.0,214728.0,0.16515200722192558,0.2028559082872201
29,174,7.257249999999999,True,1202.0,61.0,567.0,826.0,73120.0,0.34197129538763493,0.1222721546606533
30,180,7.507499999999999,True,1614.0,0.0,790.0,664.0,124466.5,0.10391500460843839,0.19316846308715058
31,186,7.75775,True,1203.0,302.0,589.0,524.0,36083.5,0.0838180966751652,0.2000195586708
32,192,8.008,True,1135.0,0.0,689.0,850.0,154127.0,0.5269973533680526,0.049914751476046265
33,198,8.258249999999999,True,1098.0,515.0,548.0,302.0,72547.0,0.25857204133882017,0.09397745997232083
34,204,8.5085,True,1926.0,0.0,207.0,875.0,57020.0,0.0,0.24788946978727955
35,210,8.75875,True,1002.0,0.0,617.0,962.0,106886.5,0.0,0.2565223248484867
36,216,9.008999999999999,True,1705.0,0.0,249.0,855.0,98114.5,0.0,0.18580846854833533
37,222,9.25925,True,1633.0,0.0,455.0,996.0,78909.0,0.4697802197802198,0.02742685505831439
38,228,9.5095,True,1594.0,0.0,519.0,1032.0,53281.0,0.8461038670072142,0.006877923046947281
39,234,9.759749999999999,True,1598.0,247.0,539.0,820.0,29581.5,0.7051558223867241,0.05046058790028552
40,240,10.01,True,1526.0,0.0,320.0,933.0,91538.5,0.29825459492437045,0.09370395111792215
41,246,10.26025,True,1674.0,0.0,245.0,980.0,71258.0,0.4243331288473336,0.04023192139492523
42,252,10.510499999999999,True,1742.0,211.0,407.0,851.0,36126.5,0.3022422858970032,0.07441507534558854
43,258,10.76075,True,1770.0,239.0,279.0,745.0,47805.0,0.6001177975326036,0.015608694445022171
44,264,11.011,True,745.0,473.0,677.0,395.0,119121.5,0.0,0.29490899644212026
45,270,11.261249999999999,True,675.0,233.0,767.0,552.0,200203.0,0.4404399728926654,0.058199262648728975
46,276,11.5115,True,320.0,0.0,1258.0,1080.0,363897.5,0.31162338809397633,0.04052833291295333
47,282,11.76175,True,414.0,0.0,976.0,933.0,259100.0,0.6702349408231761,0.031069258613177067
